INSTNM,CITY,STABBR,ZIP,LATITUDE,LONGITUDE,C150_4,REGION
Wright State University-Main Campus,Dayton,OH,45435-0001,39.780634,-84.064881,0.4586,3
Wright State University-Lake Campus,Celina,OH,45822-2952,40.546074,-84.509194,0.4247,3
Xavier University,Cincinnati,OH,45207-1092,39.149547,-84.47465,0.705,3
Youngstown State University,Youngstown,OH,44555-0001,41.104928,-80.64659,0.5291,3
Bacone College,Muskogee,OK,74403-1597,35.777082,-95.334046,0.0239,6
Oklahoma Wesleyan University,Bartlesville,OK,74006-6299,36.717453,-95.95671,0.2843,6
Southern Nazarene University,Bethany,OK,73008,35.513295,-97.629504,0.4879,6
Cameron University,Lawton,OK,73505-6377,34.606487,-98.434163,0.2154,6
University of Central Oklahoma,Edmond,OK,73034,35.6552,-97.471508,0.375,6
East Central University,Ada,OK,74820-6999,34.771934,-96.663849,0.3274,6
Randall University,Moore,OK,73160,35.300757,-97.491107,0.2055,6
Langston University,Langston,OK,73050,35.943982,-97.260317,0.175,6
Spartan College of Aeronautics and Technology,Tulsa,OK,74115,36.176642,-95.878902,0.6047,6
Northeastern State University,Tahlequah,OK,74464-2399,35.919939,-94.967229,0.372,6
Northwestern Oklahoma State University,Alva,OK,73717-2799,36.796658,-98.667673,0.3542,6
Oklahoma Christian University,Edmond,OK,73013,35.611412,-97.469526,0.5517,6
Oklahoma Panhandle State University,Goodwell,OK,73939-0430,36.594518,-101.638488,0.2613,6
Oklahoma State University-Main Campus,Stillwater,OK,74078-1015,36.123085,-97.069743,0.6589,6
Oklahoma State University-Oklahoma City,Oklahoma City,OK,73107-6195,35.474969,-97.581959,0.1321,6
Oklahoma Baptist University,Shawnee,OK,74804,35.360492,-96.932459,0.4973,6
Oklahoma City University,Oklahoma City,OK,73106-1402,35.495271,-97.541242,0.6419,6
University of Oklahoma-Norman Campus,Norman,OK,73019-3072,35.209407,-97.444211,0.753,6
Oklahoma State University Institute of Technology,Okmulgee,OK,74447-3901,35.626934,-95.940373,0.4215,6
Oral Roberts University,Tulsa,OK,74171,36.049129,-95.952547,0.539,6
Rogers State University,Claremore,OK,74017-3252,36.321437,-95.635718,0.2541,6
University of Science and Arts of Oklahoma,Chickasha,OK,73018-5322,35.031392,-97.95641,0.3626,6
Southeastern Oklahoma State University,Durant,OK,74701-3347,34.006808,-96.376864,0.3333,6
Southwestern Christian University,Bethany,OK,73008,35.513314,-97.63934,0.1271,6
Southwestern Oklahoma State University,Weatherford,OK,73096-3001,35.535281,-98.707768,0.3471,6
University of Tulsa,Tulsa,OK,74104-3189,36.152324,-95.945941,0.7331,6
Chemeketa Community College,Salem,OR,97305,44.978655,-122.978076,0.2215,8
Sumner College,Portland,OR,97220,45.574935,-122.576024,0.7895,8
Eastern Oregon University,La Grande,OR,97850,45.319795,-118.092495,0.3662,8
New Hope Christian College-Eugene,Eugene,OR,97405,44.032674,-123.15355,0.25,8
George Fox University,Newberg,OR,97132,45.303629,-122.967494,0.6868,8
Lewis & Clark College,Portland,OR,97219-7899,45.450882,-122.669137,0.7124,8
Linfield University,McMinnville,OR,97128-6894,45.201173,-123.199642,0.6515,8
Mount Angel Seminary,Saint Benedict,OR,97373,45.057871,-122.775405,0.3333,8
Mt Hood Community College,Gresham,OR,97030,45.514862,-122.396972,0.2605,8
Multnomah University,Portland,OR,97220,45.527139,-122.575557,0.5082,8
Bushnell University,Eugene,OR,97401-3745,44.047483,-123.079754,0.6176,8
Oregon Institute of Technology,Klamath Falls,OR,97601-8801,42.257152,-121.785177,0.5908,8
Oregon State University,Corvallis,OR,97331,44.56395,-123.274723,0.7063,8
University of Oregon,Eugene,OR,97403,44.045146,-123.075792,0.7148,8
Pacific Northwest College of Art,Portland,OR,97209-3404,45.526766,-122.678182,0.4568,8
Pacific University,Forest Grove,OR,97116,45.521394,-123.108777,0.6478,8
Portland State University,Portland,OR,97201,45.511601,-122.686289,0.5313,8
University of Portland,Portland,OR,97203-5798,45.572724,-122.726691,0.8042,8
Reed College,Portland,OR,97202-8199,45.480959,-122.630348,0.7592,8
Southern Oregon University,Ashland,OR,97520,42.185077,-122.695081,0.4418,8
Warner Pacific University,Portland,OR,97215,45.506265,-122.592498,0.8209,8
Corban University,Salem,OR,97317-9392,44.882399,-122.961129,0.6103,8
Willamette University,Salem,OR,97301,44.935457,-123.030537,0.7273,8
Western Oregon University,Monmouth,OR,97361-1394,44.852235,-123.238309,0.4483,8
Bryn Athyn College of the New Church,Bryn Athyn,PA,19009-0717,40.134393,-75.060808,0.4632,2
Albright College,Reading,PA,19612-5234,40.361351,-75.909742,0.4215,2
Allegheny College,Meadville,PA,16335-3902,41.64869,-80.147168,0.6653,2
DeSales University,Center Valley,PA,18034-9568,40.539091,-75.375608,0.7102,2
Alvernia University,Reading,PA,19607-1799,40.310028,-75.936754,0.5849,2
Clarks Summit University,Clarks Summit,PA,18411-1250,41.495062,-75.685472,0.5417,2
Arcadia University,Glenside,PA,19038-3295,40.092606,-75.163876,0.6401,2
Bryn Mawr College,Bryn Mawr,PA,19010,40.02736,-75.313223,0.8559,2
Bucknell University,Lewisburg,PA,17837,40.954317,-76.882616,0.8623,2
Cabrini University,Radnor,PA,19087-3698,40.056355,-75.375263,0.5052,2
Carlow University,Pittsburgh,PA,15213-3165,40.439293,-79.963448,0.5519,2
Carnegie Mellon University,Pittsburgh,PA,15213-3890,40.44357,-79.941993,0.9252,2
Cedar Crest College,Allentown,PA,18104-6196,40.586318,-75.519221,0.5822,2
Central Penn College,Summerdale,PA,17093-0309,40.3049,-76.934461,0.3889,2
Chatham University,Pittsburgh,PA,15232,40.448432,-79.926083,0.662,2
Chestnut Hill College,Philadelphia,PA,19118-2693,40.08678,-75.228742,0.561,2
Cheyney University of Pennsylvania,Cheyney,PA,19319-0200,39.932274,-75.529262,0.1616,2
Curtis Institute of Music,Philadelphia,PA,19103,39.948857,-75.170727,0.9474,2
Delaware Valley University,Doylestown,PA,18901-2697,40.298659,-75.158452,0.522,2
Dickinson College,Carlisle,PA,17013-2896,40.202796,-77.197854,0.8342,2
Drexel University,Philadelphia,PA,19104,39.955217,-75.190051,0.7712,2
Duquesne University,Pittsburgh,PA,15282,40.43589,-79.993123,0.7555,2
East Stroudsburg University of Pennsylvania,East Stroudsburg,PA,18301-2999,40.99599,-75.173905,0.4383,2
Eastern University,Saint Davids,PA,19087-3696,40.050448,-75.370316,0.5596,2
Elizabethtown College,Elizabethtown,PA,17022-2298,40.149236,-76.593224,0.7707,2
Franklin and Marshall College,Lancaster,PA,17604-3003,40.048045,-76.319037,0.8602,2
Gannon University,Erie,PA,16541-0001,42.128403,-80.087166,0.6954,2
Geneva College,Beaver Falls,PA,15010-3599,40.772518,-80.321826,0.6146,2
Gettysburg College,Gettysburg,PA,17325,39.836597,-77.236792,0.8273,2
Grove City College,Grove City,PA,16127-2104,41.1558,-80.081481,0.7972,2
Gwynedd Mercy University,Gwynedd Valley,PA,19437-0901,40.19774,-75.237224,0.5849,2
Haverford College,Haverford,PA,19041-1392,40.007452,-75.305207,0.894,2
Holy Family University,Philadelphia,PA,19114-2009,40.060581,-74.986451,0.6039,2
Immaculata University,Immaculata,PA,19345,40.027981,-75.570711,0.6447,2
Indiana University of Pennsylvania-Main Campus,Indiana,PA,15705-1098,40.617531,-79.159332,0.5239,2
Juniata College,Huntingdon,PA,16652-2196,40.500523,-78.017292,0.6891,2
Keystone College,La Plume,PA,18440-0200,41.558969,-75.777456,0.4116,2
King's College,Wilkes-Barre,PA,18711-0801,41.250097,-75.879822,0.601,2
Kutztown University of Pennsylvania,Kutztown,PA,19530-0730,40.513561,-75.783933,0.5411,2
La Roche University,Pittsburgh,PA,15237-5898,40.568615,-80.014851,0.5766,2
La Salle University,Philadelphia,PA,19141-1199,40.037979,-75.153061,0.579,2
Lackawanna College,Scranton,PA,18509-3206,41.411556,-75.658963,0.3773,2
Lafayette College,Easton,PA,18042-1768,40.69956,-75.209786,0.8805,2
Lancaster Bible College,Lancaster,PA,17601-5036,40.075347,-76.287761,0.7143,2
Lebanon Valley College,Annville,PA,17003-1400,40.330604,-76.514431,0.7251,2
Lehigh University,Bethlehem,PA,18015,40.606822,-75.380236,0.8921,2
Lincoln University,Lincoln University,PA,19352-0999,39.807723,-75.926458,0.5212,2
Lycoming College,Williamsport,PA,17701-5192,41.24666,-77.0,0.5957,2
Manor College,Jenkintown,PA,19046-3399,40.08714,-75.104786,0.2442,2
Marywood University,Scranton,PA,18509-1598,41.434587,-75.634142,0.7252,2
Mercyhurst University,Erie,PA,16546,42.10578,-80.053412,0.5873,2
Messiah University,Mechanicsburg,PA,17055,40.156579,-76.988269,0.785,2
Millersville University of Pennsylvania,Millersville,PA,17551-0302,40.000337,-76.357381,0.544,2
Misericordia University,Dallas,PA,18612-1098,41.345277,-75.971541,0.692,2
Moore College of Art and Design,Philadelphia,PA,19103-1179,39.957078,-75.172105,0.6344,2
Moravian University,Bethlehem,PA,18018-6650,40.630947,-75.383638,0.7107,2
Mount Aloysius College,Cresson,PA,16630-1999,40.459679,-78.600898,0.5556,2
Muhlenberg College,Allentown,PA,18104,40.596416,-75.508502,0.8025,2
Neumann University,Aston,PA,19014-1298,39.874876,-75.440022,0.4611,2
Pennsylvania Institute of Technology,Media,PA,19063-4098,39.908335,-75.38893,0.3258,2
Pennsylvania State University-Penn State Erie-Behrend College,Erie,PA,16563-0001,42.119417,-79.983818,0.457,2
Pennsylvania State University-Penn State New Kensington,New Kensington,PA,15068-1765,40.551056,-79.697461,0.2443,2
Pennsylvania State University-Penn State Shenango,Sharon,PA,16146-1537,41.235131,-80.50924,0.2295,2
Pennsylvania State University-Penn State Wilkes-Barre,Dallas,PA,18627-0217,41.305602,-76.016151,0.1667,2
Pennsylvania State University-Penn State Scranton,Dunmore,PA,18512-1602,41.439843,-75.621401,0.3189,2
Pennsylvania State University-Penn State Lehigh Valley,Center Valley,PA,18034-8447,40.559201,-75.40267,0.1736,2
Pennsylvania State University-Penn State Altoona,Altoona,PA,16601-3777,40.541759,-78.409601,0.1784,2
Pennsylvania State University-Penn State Beaver,Monaca,PA,15061-2764,40.678271,-80.296316,0.212,2
Pennsylvania State University-Penn State Berks,Reading,PA,19610-1016,40.358839,-75.97329,0.2441,2
Pennsylvania State University-Penn State Harrisburg,Middletown,PA,17057-4846,40.204253,-76.741216,0.2926,2
Pennsylvania State University-Penn State Brandywine,Media,PA,19063-5522,39.927123,-75.449704,0.2133,2
Pennsylvania State University-Penn State DuBois,DuBois,PA,15801-2549,41.127184,-78.751554,0.2901,2
