INSTNM,CITY,STABBR,TUITIONFEE_IN,TUITIONFEE_OUT,GraduationRate
Missouri Western State University,Saint Joseph,MO,9800.0,17500.0,0.398
University of Missouri-Columbia,Columbia,MO,14130.0,34338.0,0.7618
University of Missouri-Kansas City,Kansas City,MO,11988.0,28788.0,0.5589
Missouri University of Science and Technology,Rolla,MO,14278.0,31678.0,0.636
University of Missouri-St Louis,Saint Louis,MO,13440.0,33432.0,0.5687
Truman State University,Kirksville,MO,9470.0,17870.0,0.6839
Northwest Missouri State University,Maryville,MO,10181.0,16623.0,0.575
Ozark Christian College,Joplin,MO,15550.0,15550.0,0.6792
College of the Ozarks,Point Lookout,MO,21290.0,21290.0,0.6131
Park University,Parkville,MO,16400.0,16400.0,0.2996
Stevens-The Institute of Business & Arts,Saint Louis,MO,12968.0,12968.0,0.8
Ranken Technical College,Saint Louis,MO,17490.0,17490.0,0.5058
Rockhurst University,Kansas City,MO,43420.0,43420.0,0.7558
Saint Louis University,Saint Louis,MO,53244.0,53244.0,0.7975
University of Health Sciences and Pharmacy in St. Louis,Saint Louis,MO,31920.0,31920.0,0.7547
Saint Louis Community College,Bridgeton,MO,3660.0,6990.0,0.1769
Southwest Baptist University,Bolivar,MO,28320.0,28320.0,0.5121
Stephens College,Columbia,MO,28200.0,28200.0,0.4651
Southeast Missouri State University,Cape Girardeau,MO,9496.0,9496.0,0.5568
Missouri State University-Springfield,Springfield,MO,9024.0,17928.0,0.5733
Washington University in St Louis,Saint Louis,MO,62982.0,62982.0,0.9445
Webster University,Saint Louis,MO,30730.0,30730.0,0.6106
Westminster College,Fulton,MO,34188.0,34188.0,0.5747
William Jewell College,Liberty,MO,19890.0,19890.0,0.6162
William Woods University,Fulton,MO,28860.0,28860.0,0.5699
Blackfeet Community College,Browning,MT,3610.0,3610.0,0.0769
Carroll College,Helena,MT,40352.0,40352.0,0.6633
Montana State University Billings,Billings,MT,6706.0,21347.0,0.282
Aaniiih Nakoda College,Harlem,MT,3600.0,3600.0,0.3235
University of Providence,Great Falls,MT,29018.0,29018.0,0.4674
Montana Technological University,Butte,MT,8050.0,24730.0,0.5805
Montana State University,Bozeman,MT,8083.0,31337.0,0.5735
The University of Montana,Missoula,MT,8152.0,31622.0,0.4544
Montana State University-Northern,Havre,MT,6269.0,19385.0,0.4233
Rocky Mountain College,Billings,MT,33252.0,33252.0,0.4675
Salish Kootenai College,Pablo,MT,4311.0,11583.0,0.3521
The University of Montana-Western,Dillon,MT,6430.0,19038.0,0.4945
Bellevue University,Bellevue,NE,8886.0,8886.0,0.5588
Clarkson College,Omaha,NE,15168.0,15168.0,0.75
Bryan College of Health Sciences,Lincoln,NE,20070.0,20070.0,0.7547
Chadron State College,Chadron,NE,8078.0,8078.0,0.3807
Concordia University-Nebraska,Seward,NE,39330.0,39330.0,0.6408
Creighton University,Omaha,NE,47000.0,47000.0,0.8052
Doane University,Crete,NE,40491.0,40491.0,0.5585
Hastings College,Hastings,NE,36130.0,36130.0,0.5327
University of Nebraska at Kearney,Kearney,NE,8302.0,14260.0,0.5975
Nebraska Methodist College of Nursing & Allied Health,Omaha,NE,18173.0,18173.0,0.6667
Midland University,Fremont,NE,40270.0,40270.0,0.4321
University of Nebraska at Omaha,Omaha,NE,8370.0,22358.0,0.475
Nebraska Indian Community College,Macy,NE,4080.0,4080.0,0.1667
Nebraska Wesleyan University,Lincoln,NE,41658.0,41658.0,0.6889
University of Nebraska-Lincoln,Lincoln,NE,10108.0,27748.0,0.6585
Peru State College,Peru,NE,8280.0,8280.0,0.3772
Summit Christian College,Gering,NE,8278.0,8278.0,0.6667
College of Saint Mary,Omaha,NE,23340.0,23340.0,0.5941
Union Adventist University,Lincoln,NE,27990.0,27990.0,0.4586
Wayne State College,Wayne,NE,7970.0,7970.0,0.557
York University,York,NE,21600.0,21600.0,0.374
College of Southern Nevada,Las Vegas,NV,4110.0,12209.0,0.1785
Las Vegas College,Las Vegas,NV,17684.0,17684.0,0.5789
University of Nevada-Las Vegas,Las Vegas,NV,9142.0,26098.0,0.5012
University of Nevada-Reno,Reno,NV,8994.0,25950.0,0.6245
Great Basin College,Elko,NV,3855.0,13448.0,0.5153
Truckee Meadows Community College,Reno,NV,3144.0,11243.0,0.2817
Western Nevada College,Carson City,NV,3920.0,12019.0,0.3663
Colby-Sawyer College,New London,NH,18400.0,18400.0,0.6162
Dartmouth College,Hanover,NH,65739.0,65739.0,0.9604
Franklin Pierce University,Rindge,NH,44963.0,44963.0,0.461
Magdalen College,Warner,NH,23600.0,23600.0,0.5333
New England College,Henniker,NH,41578.0,41578.0,0.3109
Southern New Hampshire University,Manchester,NH,16450.0,16450.0,0.4487
University of New Hampshire-Main Campus,Durham,NH,19112.0,38882.0,0.7645
Keene State College,Keene,NH,14710.0,26186.0,0.5844
University of New Hampshire at Manchester,Manchester,NH,15820.0,35530.0,0.6508
Plymouth State University,Plymouth,NH,14558.0,25498.0,0.4743
Rivier University,Nashua,NH,37791.0,37791.0,0.5871
Saint Anselm College,Manchester,NH,46810.0,46810.0,0.8315
University of New Hampshire College of Professional Studies Online,Manchester,NH,7812.0,9372.0,0.1429
Thomas More College of Liberal Arts,Merrimack,NH,29300.0,29300.0,0.6154
Eastwick College-Hackensack,Hackensack,NJ,16913.0,16913.0,0.44
Berkeley College-Woodland Park,Woodland Park,NJ,28600.0,28600.0,0.4476
Bloomfield College,Bloomfield,NJ,30680.0,30680.0,0.3105
Caldwell University,Caldwell,NJ,39450.0,39450.0,0.587
Centenary University,Hackettstown,NJ,37732.0,37732.0,0.5659
Drew University,Madison,NJ,45360.0,45360.0,0.7243
Fairleigh Dickinson University-Metropolitan Campus,Teaneck,NJ,35822.0,35822.0,0.6171
Felician University,Lodi,NJ,37830.0,37830.0,0.4968
Fairleigh Dickinson University-Florham Campus,Madison,NJ,35822.0,35822.0,0.723
Georgian Court University,Lakewood,NJ,37110.0,37110.0,0.5509
Rowan University,Glassboro,NJ,15700.0,25564.0,0.6828
Eastwick College-Ramsey,Ramsey,NJ,17028.0,17028.0,0.6364
New Jersey City University,Jersey City,NJ,13971.0,24888.0,0.3874
Kean University,Union,NJ,13426.0,21076.0,0.4338
Monmouth University,West Long Branch,NJ,44850.0,44850.0,0.7033
Montclair State University,Montclair,NJ,14766.0,24126.0,0.6426
New Jersey Institute of Technology,Newark,NJ,19022.0,35934.0,0.7311
Princeton University,Princeton,NJ,59710.0,59710.0,0.9709
Rabbinical College of America,Morristown,NJ,13000.0,13000.0,0.1833
Ramapo College of New Jersey,Mahwah,NJ,15978.0,26388.0,0.7186
Rider University,Lawrenceville,NJ,38900.0,38900.0,0.6332
Rutgers University-Camden,Camden,NJ,17079.0,35841.0,0.6645
Rutgers University-New Brunswick,New Brunswick,NJ,17239.0,36001.0,0.8501
Rutgers University-Newark,Newark,NJ,16586.0,35348.0,0.676
Saint Peter's University,Jersey City,NJ,41054.0,41054.0,0.6313
Seton Hall University,South Orange,NJ,51370.0,51370.0,0.7147
Saint Elizabeth University,Morristown,NJ,35942.0,35942.0,0.4024
Stevens Institute of Technology,Hoboken,NJ,60952.0,60952.0,0.8988
Stockton University,Galloway,NJ,15532.0,23420.0,0.7197
Talmudical Academy-New Jersey,Adelphia,NJ,15800.0,15800.0,0.1
The College of New Jersey,Ewing,NJ,18685.0,24568.0,0.8523
William Paterson University of New Jersey,Wayne,NJ,15150.0,24464.0,0.4771
Navajo Technical University,Crownpoint,NM,4250.0,4250.0,0.1971
Eastern New Mexico University-Main Campus,Portales,NM,6863.0,8843.0,0.3981
Institute of American Indian and Alaska Native Culture and Arts Development,Santa Fe,NM,5801.0,5801.0,0.2453
New Mexico Highlands University,Las Vegas,NM,7260.0,12180.0,0.2559
New Mexico Institute of Mining and Technology,Socorro,NM,9058.0,26312.0,0.5636
University of New Mexico-Main Campus,Albuquerque,NM,8115.0,26450.0,0.5253
New Mexico State University-Main Campus,Las Cruces,NM,8147.0,25271.0,0.5222
Northern New Mexico College,Espanola,NM,6400.0,14328.0,0.3259
University of the Southwest,Hobbs,NM,16670.0,16670.0,0.2667
Western New Mexico University,Silver City,NM,7868.0,14354.0,0.3489
Vaughn College of Aeronautics and Technology,Flushing,NY,28850.0,28850.0,0.3992
Adelphi University,Garden City,NY,47290.0,47290.0,0.6893
Bryant & Stratton College-Albany,Albany,NY,18892.0,18892.0,0.2195
Albany College of Pharmacy and Health Sciences,Albany,NY,40375.0,40375.0,0.6882
Alfred University,Alfred,NY,39530.0,39530.0,0.555
American Musical and Dramatic Academy,New York,NY,45560.0,45560.0,0.7202
Associated Beth Rivkah Schools,Brooklyn,NY,9700.0,9700.0,0.7407
Bard College,Annandale-On-Hudson,NY,63612.0,63612.0,0.7271
Barnard College,New York,NY,66246.0,66246.0,0.9294
Berkeley College-New York,New York,NY,28600.0,28600.0,0.4025
Beth Hamedrash Shaarei Yosher Institute,Brooklyn,NY,12000.0,12000.0,0.35
Boricua College,New York,NY,12525.0,12525.0,0.7063
Bryant & Stratton College-Syracuse North,Liverpool,NY,19310.0,19310.0,0.25
Bryant & Stratton College-Buffalo,Buffalo,NY,19126.0,19126.0,0.275
Bryant & Stratton College-Greece,Rochester,NY,19593.0,19593.0,0.3043
Canisius University,Buffalo,NY,32720.0,32720.0,0.7065
Central Yeshiva Tomchei Tmimim Lubavitz,Brooklyn,NY,8400.0,8400.0,0.0278
Clarkson University,Potsdam,NY,57950.0,57950.0,0.7356
Colgate University,Hamilton,NY,67024.0,67024.0,0.9053
Metropolitan College of New York,New York,NY,20188.0,20188.0,0.2474
Columbia University in the City of New York,New York,NY,69045.0,69045.0,0.9496
The Cooper Union for the Advancement of Science and Art,New York,NY,46820.0,46820.0,0.8032
Cornell University,Ithaca,NY,66014.0,66014.0,0.9514
Culinary Institute of America,Hyde Park,NY,38410.0,38410.0,0.6467
CUNY Bernard M Baruch College,New York,NY,7464.0,15414.0,0.7211
CUNY Brooklyn College,Brooklyn,NY,7452.0,15402.0,0.5658
College of Staten Island CUNY,Staten Island,NY,7490.0,15440.0,0.3278
CUNY City College,New York,NY,7340.0,15290.0,0.5466
CUNY Hunter College,New York,NY,7382.0,15332.0,0.6099
CUNY John Jay College of Criminal Justice,New York,NY,7470.0,15420.0,0.5549
CUNY Lehman College,Bronx,NY,7410.0,15360.0,0.4929
CUNY Medgar Evers College,Brooklyn,NY,7352.0,15302.0,0.2229
CUNY New York City College of Technology,Brooklyn,NY,7332.0,15282.0,0.1941
CUNY Queens College,Queens,NY,7538.0,15488.0,0.6016
CUNY York College,Jamaica,NY,7358.0,15308.0,0.3027
D'Youville  University,Buffalo,NY,33560.0,33560.0,0.5668
Daemen University,Amherst,NY,33724.0,33724.0,0.584
Yeshiva of Far Rockaway Derech Ayson Rabbinical Seminary,Far Rockaway,NY,11150.0,11150.0,0.5333
Dominican University New York,Orangeburg,NY,33060.0,33060.0,0.5677
Elmira College,Elmira,NY,37932.0,37932.0,0.6404
Fashion Institute of Technology,New York,NY,6170.0,16750.0,0.8333
Five Towns College,Dix Hills,NY,29950.0,29950.0,0.4898
Fordham University,Bronx,NY,61992.0,61992.0,0.8027
Hamilton College,Clinton,NY,65740.0,65740.0,0.9125
Hartwick College,Oneonta,NY,52849.0,52849.0,0.4615
Hilbert College,Hamburg,NY,32150.0,32150.0,0.4699
Hobart William Smith Colleges,Geneva,NY,63268.0,63268.0,0.7271
Hofstra University,Hempstead,NY,55450.0,55450.0,0.671
Houghton University,Houghton,NY,17290.0,17290.0,0.6466
Iona University,New Rochelle,NY,45880.0,45880.0,0.5744
Ithaca College,Ithaca,NY,50510.0,50510.0,0.7411
Jamestown Business College,Jamestown,NY,12945.0,12945.0,0.6053
Jewish Theological Seminary of America,New York,NY,65545.0,65545.0,0.8684
The Juilliard School,New York,NY,56550.0,56550.0,0.9
Kehilath Yakov Rabbinical Seminary,Ossining,NY,12800.0,12800.0,0.4694
Keuka College,Keuka Park,NY,38000.0,38000.0,0.4877
LIM College,New York,NY,31950.0,31950.0,0.5299
Le Moyne College,Syracuse,NY,38970.0,38970.0,0.7098
Long Island University,Brookville,NY,41642.0,41642.0,0.5544
Machzikei Hadath Rabbinical College,Brooklyn,NY,13500.0,13500.0,0.2791
Manhattan College,Riverdale,NY,50850.0,50850.0,0.6597
Manhattan School of Music,New York,NY,54600.0,54600.0,0.7826
Manhattanville College,Purchase,NY,42950.0,42950.0,0.5373
Maria College of Albany,Albany,NY,17680.0,17680.0,0.4286
Marist College,Poughkeepsie,NY,46140.0,46140.0,0.7984
Marymount Manhattan College,New York,NY,40260.0,40260.0,0.4981
Mercy University,Dobbs Ferry,NY,22106.0,22106.0,0.481
Mesivta Torah Vodaath Rabbinical Seminary,Brooklyn,NY,13950.0,13950.0,0.3333
Mesivta of Eastern Parkway-Yeshiva Zichron Meilech,Brooklyn,NY,10100.0,10100.0,0.75
Mesivtha Tifereth Jerusalem of America,New York,NY,13560.0,13560.0,0.1667
Mirrer Yeshiva Cent Institute,Brooklyn,NY,12500.0,12500.0,0.6383
Molloy College,Rockville Centre,NY,37840.0,37840.0,0.7176
Monroe College,Bronx,NY,17922.0,17922.0,0.5748
Mount Saint Mary College,Newburgh,NY,41370.0,41370.0,0.6566
University of Mount Saint Vincent,Bronx,NY,42740.0,42740.0,0.5714
Nazareth University,Rochester,NY,40880.0,40880.0,0.7291
The New School,New York,NY,56386.0,56386.0,0.7119
New York University,New York,NY,60438.0,60438.0,0.8846
Niagara University,Niagara University,NY,38135.0,38135.0,0.7024
New York Institute of Technology,Old Westbury,NY,44360.0,44360.0,0.5604
New York School of Interior Design,New York,NY,30330.0,30330.0,0.5385
Ohr Hameir Theological Seminary,Peekskill,NY,10150.0,10150.0,0.75
Pace University,New York,NY,51424.0,51424.0,0.6141
Paul Smiths College of Arts and Science,Paul Smiths,NY,32049.0,32049.0,0.5333
Plaza College,Forest Hills,NY,15450.0,15450.0,0.6287
Davis College,Pottersville,NY,17500.0,17500.0,0.3889
Pratt Institute-Main,Brooklyn,NY,59683.0,59683.0,0.7269
Rabbinical Academy Mesivta Rabbi Chaim Berlin,Brooklyn,NY,10800.0,10800.0,0.1923
Rabbinical College Bobover Yeshiva Bnei Zion,Brooklyn,NY,10000.0,10000.0,0.9714
Rabbinical College Beth Shraga,Monsey,NY,16150.0,16150.0,0.4545
Rabbinical Seminary Mkor Chaim,Lakewood,NJ,8450.0,8450.0,0.25
Rabbinical College of Long Island,Long Beach,NY,10290.0,10290.0,0.3415
Rabbinical Seminary of America,Flushing,NY,10000.0,10000.0,0.3431
Rensselaer Polytechnic Institute,Troy,NY,61884.0,61884.0,0.8316
Roberts Wesleyan University,Rochester,NY,37504.0,37504.0,0.6393
Rochester Institute of Technology,Rochester,NY,57016.0,57016.0,0.708
University of Rochester,Rochester,NY,64348.0,64348.0,0.8448
Russell Sage College,Troy,NY,36756.0,36756.0,0.6567
St Bonaventure University,Saint Bonaventure,NY,40150.0,40150.0,0.7039
St. Francis College,Brooklyn,NY,27570.0,27570.0,0.5229
St Lawrence University,Canton,NY,63870.0,63870.0,0.7965
The College of Saint Rose,Albany,NY,37452.0,37452.0,0.5095
St. Thomas Aquinas College,Sparkill,NY,37720.0,37720.0,0.626
Sarah Lawrence College,Bronxville,NY,63678.0,63678.0,0.6997
Sh'or Yoshuv Rabbinical College,Lawrence,NY,11700.0,11700.0,0.0
Siena College,Loudonville,NY,44405.0,44405.0,0.7584
Skidmore College,Saratoga Springs,NY,65030.0,65030.0,0.8167
St. Joseph's University-New York,Brooklyn,NY,34535.0,34535.0,0.6421
St. John Fisher University,Rochester,NY,39666.0,39666.0,0.7444
St. John's University-New York,Queens,NY,50110.0,50110.0,0.6846
SUNY College of Technology at Alfred,Alfred,NY,8862.0,16367.0,0.5269
SUNY College of Technology at Canton,Canton,NY,8689.0,13519.0,0.4406
SUNY College of Technology at Delhi,Delhi,NY,8710.0,12480.0,0.4796
SUNY College of Agriculture and Technology at Cobleskill,Cobleskill,NY,8676.0,18586.0,0.4091
Farmingdale State College,Farmingdale,NY,8576.0,18486.0,0.5706
SUNY Morrisville,Morrisville,NY,8769.0,19189.0,0.319
University at Albany,Albany,NY,10408.0,28998.0,0.6389
Binghamton University,Vestal,NY,10363.0,29453.0,0.8365
University at Buffalo,Buffalo,NY,10782.0,30572.0,0.7341
Stony Brook University,Stony Brook,NY,10560.0,30350.0,0.7785
SUNY College of Environmental Science and Forestry,Syracuse,NY,9206.0,21036.0,0.6994
SUNY Polytechnic Institute,Utica,NY,8578.0,20228.0,0.5918
SUNY Brockport,Brockport,NY,8678.0,15748.0,0.5664
SUNY Buffalo State University,Buffalo,NY,8486.0,18906.0,0.3604
State University of New York at Cortland,Cortland,NY,8815.0,18725.0,0.6825
SUNY at Fredonia,Fredonia,NY,8771.0,19191.0,0.5348
SUNY College at Geneseo,Geneseo,NY,8966.0,19206.0,0.7209
State University of New York at New Paltz,New Paltz,NY,8524.0,18434.0,0.6888
SUNY Oneonta,Oneonta,NY,8812.0,19232.0,0.7024
State University of New York at Oswego,Oswego,NY,8769.0,18679.0,0.6037
SUNY College at Potsdam,Potsdam,NY,8712.0,18622.0,0.4788
SUNY at Purchase College,Purchase,NY,8953.0,18863.0,0.6156
SUNY Old Westbury,Old Westbury,NY,8379.0,18289.0,0.4659
SUNY College at Plattsburgh,Plattsburgh,NY,8881.0,18791.0,0.5884
Empire State University,Saratoga Springs,NY,7630.0,17540.0,0.2932
SUNY Maritime College,Throggs Neck,NY,8540.0,18450.0,0.7485
Syracuse University,Syracuse,NY,63061.0,63061.0,0.8135
Talmudical Seminary Oholei Torah,Brooklyn,NY,8000.0,8000.0,0.1395
Talmudical Institute of Upstate New York,Rochester,NY,6150.0,6150.0,0.1667
Torah Temimah Talmudical Seminary,Staten Island,NY,9600.0,9600.0,0.0952
Touro University,New York,NY,21810.0,21810.0,0.6496
Trocaire College,Buffalo,NY,19820.0,19820.0,0.1919
Union College,Schenectady,NY,66456.0,66456.0,0.8526
United Talmudical Seminary,Brooklyn,NY,14133.0,14133.0,0.5694
United States Merchant Marine Academy,Kings Point,NY,945.0,945.0,0.8061
Utica University,Utica,NY,24308.0,24308.0,0.5547
Vassar College,Poughkeepsie,NY,67805.0,67805.0,0.8914
Villa Maria College,Buffalo,NY,28670.0,28670.0,0.3101
School of Visual Arts,New York,NY,49140.0,49140.0,0.7493
Wagner College,Staten Island,NY,52000.0,52000.0,0.6814
Webb Institute,Glen Cove,NY,61060.0,61060.0,0.8077
Wells College,Aurora,NY,35166.0,35166.0,0.4088
The College of Westchester,White Plains,NY,24705.0,24705.0,0.3205
Yeshiva Karlin Stolin,Brooklyn,NY,14000.0,14000.0,0.3333
Yeshiva Derech Chaim,Brooklyn,NY,12700.0,12700.0,0.1818
Yeshiva of Nitra Rabbinical College,Chester,NY,14000.0,14000.0,0.1818
Yeshivath Shaar Hatorah,Kew Gardens,NY,19200.0,19200.0,0.5455
Yeshiva University,New York,NY,49900.0,49900.0,0.8367
Yeshivath Viznitz,Monsey,NY,9900.0,9900.0,0.6949
Yeshivath Zichron Moshe,South Fallsburg,NY,10880.0,10880.0,0.5
Appalachian State University,Boone,NC,7541.0,24537.0,0.7311
Barton College,Wilson,NC,35600.0,35600.0,0.5152
Belmont Abbey College,Belmont,NC,19500.0,19500.0,0.4637
Bennett College,Greensboro,NC,19140.0,19140.0,0.2063
Brevard College,Brevard,NC,31250.0,31250.0,0.3902
Cabarrus College of Health Sciences,Concord,NC,16070.0,16070.0,0.4545
Campbell University,Buies Creek,NC,40410.0,40410.0,0.5586
Catawba College,Salisbury,NC,33400.0,33400.0,0.5211
Chowan University,Murfreesboro,NC,27110.0,27110.0,0.2852
Davidson College,Davidson,NC,60300.0,60300.0,0.9189
Duke University,Durham,NC,65805.0,65805.0,0.9583
East Carolina University,Greenville,NC,7361.0,23638.0,0.6214
Elizabeth City State University,Elizabeth City,NC,3412.0,7412.0,0.4809
Elon University,Elon,NC,44536.0,44536.0,0.8296
Fayetteville State University,Fayetteville,NC,3969.0,7969.0,0.352
Gardner-Webb University,Boiling Springs,NC,33450.0,33450.0,0.6168
Greensboro College,Greensboro,NC,20400.0,20400.0,0.4081
Guilford College,Greensboro,NC,41140.0,41140.0,0.4766
Heritage Bible College,Dunn,NC,8688.0,8688.0,0.4
High Point University,High Point,NC,44208.0,44208.0,0.7
Johnson C Smith University,Charlotte,NC,20480.0,20480.0,0.3414
Lees-McRae College,Banner Elk,NC,31140.0,31140.0,0.4423
Lenoir-Rhyne University,Hickory,NC,30900.0,30900.0,0.5105
Livingstone College,Salisbury,NC,18296.0,18296.0,0.2712
Mars Hill University,Mars Hill,NC,37270.0,37270.0,0.4193
Meredith College,Raleigh,NC,43936.0,43936.0,0.6497
Methodist University,Fayetteville,NC,39664.0,39664.0,0.4015
Montreat College,Montreat,NC,33860.0,33860.0,0.4057
University of Mount Olive,Mount Olive,NC,25950.0,25950.0,0.4746
North Carolina A & T State University,Greensboro,NC,6748.0,20408.0,0.5527
University of North Carolina Asheville,Asheville,NC,7461.0,24809.0,0.5495
University of North Carolina at Chapel Hill,Chapel Hill,NC,8989.0,39330.0,0.9207
University of North Carolina at Charlotte,Charlotte,NC,7214.0,21876.0,0.6771
University of North Carolina at Greensboro,Greensboro,NC,7593.0,23339.0,0.579
North Carolina Central University,Durham,NC,6542.0,19578.0,0.4597
University of North Carolina School of the Arts,Winston Salem,NC,9477.0,27211.0,0.7919
North Carolina State University at Raleigh,Raleigh,NC,8895.0,31767.0,0.8464
North Carolina Wesleyan University,Rocky Mount,NC,35536.0,35536.0,0.4043
University of North Carolina Wilmington,Wilmington,NC,7317.0,22985.0,0.7073
William Peace University,Raleigh,NC,33150.0,33150.0,0.4433
University of North Carolina at Pembroke,Pembroke,NC,3571.0,7571.0,0.4452
Pfeiffer University,Misenheimer,NC,33930.0,33930.0,0.426
Queens University of Charlotte,Charlotte,NC,43285.0,43285.0,0.6588
Mid-Atlantic Christian University,Elizabeth City,NC,17280.0,17280.0,0.4259
Saint Augustine's University,Raleigh,NC,16896.0,16896.0,0.3323
Salem College,Winston-Salem,NC,32236.0,32236.0,0.5625
Shaw University,Raleigh,NC,17176.0,17176.0,0.2025
St. Andrews University,Laurinburg,NC,30800.0,30800.0,0.2713
Southeastern Baptist Theological Seminary,Wake Forest,NC,10646.0,10646.0,0.4643
Wake Forest University,Winston-Salem,NC,64758.0,64758.0,0.9087
Warren Wilson College,Swannanoa,NC,40290.0,40290.0,0.4315
Wingate University,Wingate,NC,40196.0,40196.0,0.4678
Carolina Christian College,Winston Salem,NC,9420.0,9420.0,0.0
Winston-Salem State University,Winston-Salem,NC,6735.0,17391.0,0.4855
Western Carolina University,Cullowhee,NC,4532.0,8532.0,0.5908
Rasmussen University-North Dakota,Fargo,ND,12715.0,12715.0,0.5789
Bismarck State College,Bismarck,ND,5195.0,7279.0,0.4803
Dickinson State University,Dickinson,ND,9118.0,11218.0,0.4339
Nueta Hidatsa Sahnish College,New Town,ND,3870.0,3870.0,0.1707
University of Jamestown,Jamestown,ND,24820.0,24820.0,0.4402
University of Mary,Bismarck,ND,21468.0,21468.0,0.6819
Mayville State University,Mayville,ND,7935.0,9564.0,0.4032
Minot State University,Minot,ND,8634.0,8634.0,0.4776
University of North Dakota,Grand Forks,ND,10951.0,15570.0,0.6333
North Dakota State University-Main Campus,Fargo,ND,10857.0,15511.0,0.6372
Sitting Bull College,Fort Yates,ND,4010.0,4010.0,0.2388
Trinity Bible College and Graduate School,Ellendale,ND,18762.0,18762.0,0.3878
Turtle Mountain Community College,Belcourt,ND,2626.0,2626.0,0.5447
United Tribes Technical College,Bismarck,ND,4252.0,4252.0,0.3377
Valley City State University,Valley City,ND,8514.0,13478.0,0.4813
Herzing University-Akron,Akron,OH,13420.0,13420.0,0.2121
University of Akron Main Campus,Akron,OH,12799.0,17239.0,0.4818
Allegheny Wesleyan College,Salem,OH,6800.0,6800.0,0.4
Art Academy of Cincinnati,Cincinnati,OH,40250.0,40250.0,0.4444
Ashland University,Ashland,OH,28910.0,28910.0,0.6059
Aultman College of Nursing and Health Sciences,Canton,OH,19854.0,19854.0,0.5185
Baldwin Wallace University,Berea,OH,37938.0,37938.0,0.6861
Bluffton University,Bluffton,OH,36298.0,36298.0,0.4952
Bowling Green State University-Firelands,Huron,OH,6206.0,13895.0,0.1016
Bowling Green State University-Main Campus,Bowling Green,OH,14081.0,22070.0,0.6277
Bryant & Stratton College-Parma,Parma,OH,19542.0,19542.0,0.2069
Capital University,Columbus,OH,41788.0,41788.0,0.6554
Case Western Reserve University,Cleveland,OH,64671.0,64671.0,0.8695
Cedarville University,Cedarville,OH,36078.0,36078.0,0.7431
Central Ohio Technical College,Newark,OH,5136.0,7896.0,0.2423
Central State University,Wilberforce,OH,7824.0,9824.0,0.2557
The Christ College of Nursing and Health Sciences,Cincinnati,OH,16394.0,16394.0,0.6
University of Cincinnati-Main Campus,Cincinnati,OH,13570.0,30582.0,0.7155
Cincinnati State Technical and Community College,Cincinnati,OH,5400.0,9801.0,0.2043
University of Cincinnati-Clermont College,Batavia,OH,6554.0,13786.0,0.246
University of Cincinnati-Blue Ash College,Blue Ash,OH,6992.0,15790.0,0.1514
Ohio Christian University,Circleville,OH,23700.0,23700.0,0.3571
Clark State College,Springfield,OH,4200.0,7809.0,0.2465
Cleveland Institute of Art,Cleveland,OH,47880.0,47880.0,0.6753
Cleveland Institute of Music,Cleveland,OH,42500.0,42500.0,0.6852
Cleveland State University,Cleveland,OH,12613.0,17973.0,0.4891
Columbus College of Art & Design,Columbus,OH,39650.0,39650.0,0.6133
Davis College,Toledo,OH,14130.0,14130.0,0.0833
University of Dayton,Dayton,OH,47600.0,47600.0,0.8152
Defiance College,Defiance,OH,38778.0,38778.0,0.3667
Denison University,Granville,OH,64000.0,64000.0,0.8006
The University of Findlay,Findlay,OH,39646.0,39646.0,0.6263
Franklin University,Columbus,OH,9577.0,9577.0,0.3025
Gods Bible School and College,Cincinnati,OH,7696.0,7696.0,0.5
Good Samaritan College of Nursing and Health Science,Cincinnati,OH,15470.0,15470.0,0.75
Heidelberg University,Tiffin,OH,33628.0,33628.0,0.4984
Hiram College,Hiram,OH,26265.0,26265.0,0.5914
John Carroll University,University Heights,OH,49100.0,49100.0,0.7649
Kent State University at Ashtabula,Ashtabula,OH,7272.0,16744.0,0.2584
Kent State University at East Liverpool,East Liverpool,OH,7272.0,16744.0,0.098
Kent State University at Stark,North Canton,OH,7272.0,16744.0,0.3726
Kent State University at Trumbull,Warren,OH,7272.0,16744.0,0.2677
Kent State University at Tuscarawas,New Philadelphia,OH,7272.0,16744.0,0.371
Kent State University at Salem,Salem,OH,7272.0,16744.0,0.2819
Kent State University at Kent,Kent,OH,12846.0,22316.0,0.6545
Kent State University at Geauga,Burton,OH,7272.0,16744.0,0.2593
Kenyon College,Gambier,OH,69330.0,69330.0,0.8675
Kettering College,Kettering,OH,15672.0,15672.0,0.65
Lake Erie College,Painesville,OH,36032.0,36032.0,0.4194
James A. Rhodes State College,Lima,OH,4657.0,9217.0,0.3291
Lorain County Community College,Elyria,OH,4135.0,8730.0,0.3272
Lourdes University,Sylvania,OH,28930.0,28930.0,0.381
Malone University,Canton,OH,36120.0,36120.0,0.5134
Marietta College,Marietta,OH,38974.0,38974.0,0.5809
Marion Technical College,Marion,OH,6475.0,11065.0,0.2233
Mercy College of Ohio,Toledo,OH,18950.0,18950.0,0.4464
Miami University-Hamilton,Hamilton,OH,7278.0,18847.0,0.2159
Miami University-Middletown,Middletown,OH,7278.0,18847.0,0.2454
Miami University-Oxford,Oxford,OH,17809.0,40025.0,0.8184
Mount Carmel College of Nursing,Columbus,OH,13890.0,13890.0,0.7089
