INSTNM,CITY,STABBR,TUITIONFEE_IN,TUITIONFEE_OUT,GraduationRate
University of La Verne,La Verne,CA,47000.0,47000.0,0.6545
Laguna College of Art and Design,Laguna Beach,CA,35650.0,35650.0,0.6304
Latin American Bible Institute,La Puente,CA,12320.0,12320.0,0.6
Lincoln University,Oakland,CA,11420.0,11420.0,0.75
La Sierra University,Riverside,CA,35910.0,35910.0,0.6806
The Master's University and Seminary,Santa Clarita,CA,36930.0,36930.0,0.6375
Loyola Marymount University,Los Angeles,CA,58974.0,58974.0,0.7978
Menlo College,Atherton,CA,51070.0,51070.0,0.5133
MiraCosta College,Oceanside,CA,1152.0,9120.0,0.411
Modesto Junior College,Modesto,CA,1270.0,8870.0,0.261
Mount Saint Mary's University,Los Angeles,CA,48132.0,48132.0,0.5342
Musicians Institute,Hollywood,CA,28400.0,28400.0,0.4596
National University,San Diego,CA,13320.0,13320.0,0.5
Newschool of Architecture and Design,San Diego,CA,30291.0,30291.0,0.5094
Occidental College,Los Angeles,CA,63446.0,63446.0,0.8511
Otis College of Art and Design,Los Angeles,CA,55513.0,55513.0,0.6059
Hope International University,Fullerton,CA,36250.0,36250.0,0.4565
Pacific States University,Los Angeles,CA,9810.0,9810.0,1.0
Pacific Union College,Angwin,CA,35214.0,35214.0,0.5147
University of the Pacific,Stockton,CA,55340.0,55340.0,0.6782
Pepperdine University,Malibu,CA,66742.0,66742.0,0.8467
Pitzer College,Claremont,CA,62692.0,62692.0,0.8321
Point Loma Nazarene University,San Diego,CA,43550.0,43550.0,0.7379
Pomona College,Claremont,CA,62326.0,62326.0,0.9319
Santa Ana College,Santa Ana,CA,1180.0,9460.0,0.3151
University of Redlands,Redlands,CA,57614.0,57614.0,0.7068
Rio Hondo College,Whittier,CA,1388.0,9884.0,0.2713
San Diego Mesa College,San Diego,CA,1150.0,9094.0,0.3375
San Diego State University,San Diego,CA,8290.0,20170.0,0.7827
University of San Diego,San Diego,CA,56444.0,56444.0,0.8158
